"Plot_ID","Treatment","Yield_t_ha"
1,"N0_Control",2.98
2,"N0_Control",2.3
3,"N0_Control",2.63
4,"N0_Control",2.72
5,"N0_Control",2.64
6,"N0_Control",2.46
7,"N0_Control",3.03
8,"N0_Control",2.47
9,"N0_Control",3.21
10,"N0_Control",2.48
11,"N50_Low",4.72
12,"N50_Low",5.11
13,"N50_Low",3.64
14,"N50_Low",4.09
15,"N50_Low",4.15
16,"N50_Low",4.45
17,"N50_Low",4.09
18,"N50_Low",3.14
19,"N50_Low",3.22
20,"N50_Low",4.73
21,"N100_Medium",6.66
22,"N100_Medium",6
23,"N100_Medium",6.72
24,"N100_Medium",7.35
25,"N100_Medium",7.65
26,"N100_Medium",6.61
27,"N100_Medium",6.68
28,"N100_Medium",6.01
29,"N100_Medium",7.01
30,"N100_Medium",6.51
31,"N150_High",7.09
32,"N150_High",7.2
33,"N150_High",7.33
34,"N150_High",6.64
35,"N150_High",7.11
36,"N150_High",6.18
37,"N150_High",6.57
38,"N150_High",6.54
39,"N150_High",5.89
40,"N150_High",6.92
