"Sample_ID","Soil_pH","SOC_percent","Nitrogen_ppm","Phosphorus_ppm","Yield_t_ha"
1,7.33,3.03,56.1,21.8,7.26
2,7.37,3.15,41.2,14.2,7.51
3,6.07,3.32,50.2,27.8,7.64
4,7.16,2.5,56.1,20.6,7.11
5,6.78,3.05,36.1,19.7,6.84
6,6.54,1.94,38.1,15.8,5.74
7,6.97,2.41,35.9,22,6.23
8,5.77,2.37,33.3,18,6.28
9,6.81,1.59,45.6,19.3,5.83
10,6.91,2.82,50.2,28.4,6.97
11,6.42,2.9,54.6,21.1,7.42
12,6.94,2.62,53.4,16.6,6.87
13,7.37,3.18,37,22.8,6.86
14,6.01,2.44,59.8,20.2,6.73
15,6.42,2.12,39.7,25,6.33
16,7.38,3.02,45.8,29.2,7.38
17,7.46,2.39,41.6,17,6.56
18,5.73,3.52,44,24.3,7.29
19,6.45,2.58,46.5,22.4,6.57
20,6.62,3.13,46,26.5,7.71
21,7.31,2.96,44.8,20.9,7
22,5.78,2.41,45.9,26.2,6.9
23,7.48,3.59,41.1,13.3,6.88
24,7.39,3.12,41,30.4,7.22
25,5.66,2.84,31.7,26.3,6.3
26,6.53,2.94,41.9,21.2,6.73
27,6.28,3.14,40.9,14.8,7.14
28,7.31,2.84,66.6,25.2,7.98
29,6.39,1.3,34.1,24.4,5.37
30,7.17,2.94,46.1,22,6.85
31,6.98,2.62,33.1,22.8,6.13
32,7.12,2.89,33.2,19.1,6.78
33,6.28,3.09,46,23.8,7.55
34,6.87,3.5,37,23.5,7.59
35,5.51,2.44,45,20.6,5.98
36,7.17,3.45,41.6,15.3,7.77
37,5.51,2.97,40.1,25.5,7.08
38,5.92,3.32,28.8,24.8,6.63
39,7.31,3.26,35.2,17.8,7.06
40,6.72,3.16,46.4,14,6.72
41,6.26,2.28,49.5,23,6.3
42,6.37,2.75,41.1,20.3,6.62
43,5.57,3.11,45,23.3,6.66
44,7.45,2.32,54,15.5,6.86
45,6.36,2.53,56.5,17.2,7.34
46,7.42,3.09,36.2,27.4,6.74
47,7.28,3.18,44.1,24,7.1
48,6.78,3.03,54.6,24.9,7.59
49,7.44,2.36,41.2,31.1,6.48
50,6.74,2.25,44.6,22.6,6.36
51,6.17,3.56,44.3,12,7.37
52,6.19,2.93,37.9,23.7,6.99
53,6.3,2.84,41.4,27.9,7.03
54,7.07,2.74,44.8,32.3,6.66
55,5.58,2.2,41.7,15.1,5.9
56,7,3.11,53.9,16.2,7.7
57,6.85,2.69,41.2,18.5,6.83
58,5.84,2.71,41.5,16.7,6.35
59,6.02,3.27,50.6,18.8,6.5
60,6.53,3.21,36.5,21.1,6.86
