
Plot_ID,Block,Variety,Yield_tha
P01,Block_1,Var_1,3.62
P02,Block_1,Var_2,3.77
P03,Block_1,Var_3,4.26
P04,Block_1,Var_4,4.78
P05,Block_1,Var_5,4.54
P06,Block_1,Var_6,4.64
P07,Block_1,Var_7,4.29
P08,Block_1,Var_8,3.89
P09,Block_2,Var_1,3.08
P10,Block_2,Var_2,3.64
P11,Block_2,Var_3,3.68
P12,Block_2,Var_4,3.98
P13,Block_2,Var_5,4.36
P14,Block_2,Var_6,3.92
P15,Block_2,Var_7,3.17
P16,Block_2,Var_8,3.26
P17,Block_3,Var_1,3.65
P18,Block_3,Var_2,4.28
P19,Block_3,Var_3,4.27
P20,Block_3,Var_4,4.45
P21,Block_3,Var_5,5.37
P22,Block_3,Var_6,5.04
P23,Block_3,Var_7,4.32
P24,Block_3,Var_8,3.74
